Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
CD40 Signaling	0.00E+00	4.65E-02	NaN	"MAP2K2,MAP2K4"
IL-3 Signaling	0.00E+00	3.85E-02	NaN	"MAP2K2,PRKD3"
Lymphotoxin β Receptor Signaling	0.00E+00	2.70E-02	NaN	CYC1
IL-17 Signaling	0.00E+00	3.17E-02	NaN	"HSP90B1,MAP2K4"
Thrombopoietin Signaling	0.00E+00	5.13E-02	NaN	"MAP2K2,PRKD3"
IL-15 Production	0.00E+00	5.00E-02	NaN	"DDR2,EPHA3,MAP2K4"
IL-15 Signaling	0.00E+00	1.96E-02	NaN	MAP2K2
Endothelin-1 Signaling	0.00E+00	2.41E-02	NaN	"GNAQ,PRKD3"
Relaxin Signaling	0.00E+00	5.41E-02	NaN	"GNAQ,GNB2,GNG5,PRKAR1A"
CNTF Signaling	0.00E+00	5.00E-02	NaN	"IL6ST,MAP2K2"
ICOS-ICOSL Signaling in T Helper Cells	0.00E+00	4.44E-02	NaN	"CAMK2D,NFAT5"
HMGB1 Signaling	0.00E+00	3.95E-02	NaN	"MAP2K2,MAP2K4,RHOC"
Role of CHK Proteins in Cell Cycle Checkpoint Control	0.00E+00	1.96E-02	NaN	PPP2R5E
FLT3 Signaling in Hematopoietic Progenitor Cells	0.00E+00	1.67E-02	NaN	MAP2K2
Melanocyte Development and Pigmentation Signaling	0.00E+00	3.39E-02	NaN	"MAP2K2,PRKAR1A"
ATM Signaling	0.00E+00	3.61E-02	NaN	"MAP2K4,MDM4,PPP2R5E"
Aldosterone Signaling in Epithelial Cells	0.00E+00	4.00E-02	NaN	"HSP90B1,MAP2K2,PRKD3,SACS"
Growth Hormone Signaling	0.00E+00	2.78E-02	NaN	PRKD3
Prolactin Signaling	0.00E+00	3.39E-02	NaN	"MAP2K2,PRKD3"
Melanoma Signaling	0.00E+00	2.86E-02	NaN	MAP2K2
Prostate Cancer Signaling	0.00E+00	5.56E-02	NaN	"CTNNB1,GSTP1,HDAC2,HSP90B1,MAP2K2"
Type I Diabetes Mellitus Signaling	0.00E+00	5.45E-02	NaN	"CYC1,HLA-C,MAP2K4"
Small Cell Lung Cancer Signaling	0.00E+00	5.48E-02	NaN	"CCND3,CDK6,CYC1,HDAC2"
Acute Myeloid Leukemia Signaling	0.00E+00	4.76E-02	NaN	"MAP2K2,MAP2K4,TCF4"
Bladder Cancer Signaling	0.00E+00	3.45E-02	NaN	"HDAC2,MAP2K2"
Type II Diabetes Mellitus Signaling	0.00E+00	4.29E-02	NaN	"MAP2K4,PKM,PRKD3"
MYC Mediated Apoptosis Signaling	0.00E+00	2.94E-02	NaN	PRKAR1A
Pancreatic Adenocarcinoma Signaling	0.00E+00	3.26E-02	NaN	"HDAC2,MAP2K2,MAP2K4"
Sphingosine-1-phosphate Signaling	0.00E+00	3.17E-02	NaN	"GNAQ,RHOC"
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	0.00E+00	5.17E-02	NaN	"CTNNB1,MAP2K4,NFAT5,RUNX2,SMAD5,TCF4"
Estrogen-Dependent Breast Cancer Signaling	0.00E+00	1.89E-02	NaN	HSD17B10
Leptin Signaling in Obesity	0.00E+00	5.71E-02	NaN	"MAP2K2,PRKAR1A"
RANK Signaling in Osteoclasts	0.00E+00	5.08E-02	NaN	"MAP2K2,MAP2K4,MAP3K2"
Glioblastoma Multiforme Signaling	0.00E+00	5.05E-02	NaN	"CCND3,CDK6,CTNNB1,MAP2K2,RHOC"
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	0.00E+00	4.48E-02	NaN	"MAP2K2,MAP2K4,NFAT5"
TWEAK Signaling	0.00E+00	3.45E-02	NaN	TNFRSF12A
PKCθ Signaling in T Lymphocytes	0.00E+00	5.56E-02	2	"CAMK2D,MAP2K4,MAP3K2,NFAT5"
TNFR1 Signaling	0.00E+00	2.56E-02	NaN	MAP2K4
Role of MAPK Signaling in the Pathogenesis of Influenza	0.00E+00	4.88E-02	NaN	"MAP2K2,MAP2K4"
TNFR2 Signaling	0.00E+00	4.35E-02	NaN	MAP2K4
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	0.00E+00	2.94E-02	NaN	MAP2K2
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	0.00E+00	5.26E-02	NaN	ISG15
PI3K Signaling in B Lymphocytes	0.00E+00	4.82E-02	NaN	"CAMK2D,FOXO3,MAP2K2,NFAT5"
Cell Cycle Control of Chromosomal Replication	0.00E+00	2.04E-02	NaN	CDK6
Assembly of RNA Polymerase II Complex	0.00E+00	4.55E-02	NaN	"POLR2E,POLR2J"
Spliceosomal Cycle	0.00E+00	2.13E-02	NaN	RBM8A
IL-17A Signaling in Airway Cells	0.00E+00	5.41E-02	NaN	"MAP2K2,MAP2K4"
IL-17A Signaling in Fibroblasts	0.00E+00	4.55E-02	NaN	NFKBIZ
Role of IL-17F in Allergic Inflammatory Airway Diseases	0.00E+00	4.17E-02	NaN	MAP2K2
Role of JAK2 in Hormone-like Cytokine Signaling	0.00E+00	4.17E-02	NaN	CCND3
NGF Signaling	0.00E+00	4.71E-02	NaN	"MAP2K2,MAP2K4,MAP3K2,ROCK2"
Telomerase Signaling	0.00E+00	5.33E-02	NaN	"HDAC2,HSP90B1,MAP2K2,PPP2R5E"
VEGF Family Ligand-Receptor Interactions	0.00E+00	4.76E-02	NaN	"MAP2K2,PRKD3"
ERBB Signaling	0.00E+00	5.45E-02	NaN	"MAP2K2,MAP2K4,PRKD3"
ERB2-ERBB3 Signaling	0.00E+00	2.27E-02	NaN	MAP2K2
ERBB4 Signaling	0.00E+00	4.76E-02	NaN	"MAP2K2,PRKD3"
GDNF Family Ligand-Receptor Interactions	0.00E+00	4.26E-02	NaN	"MAP2K2,MAP2K4"
D-myo-inositol-5-phosphate Metabolism	0.00E+00	5.45E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
Superpathway of Inositol Phosphate Compounds	0.00E+00	4.58E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
3-phosphoinositide Degradation	0.00E+00	5.66E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
3-phosphoinositide Biosynthesis	0.00E+00	5.13E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
Stearate Biosynthesis I (Animals)	0.00E+00	2.94E-02	NaN	TECR
Fatty Acid β-oxidation I	0.00E+00	5.00E-02	NaN	HSD17B10
Superpathway of Cholesterol Biosynthesis	0.00E+00	4.35E-02	NaN	FDPS
Antioxidant Action of Vitamin C	0.00E+00	2.00E-02	NaN	MAP2K4
PEDF Signaling	0.00E+00	5.26E-02	NaN	"ROCK2,TCF12,TCF4"
UVA-Induced MAPK Signaling	0.00E+00	1.52E-02	NaN	MAP2K4
STAT3 Pathway	0.00E+00	4.84E-02	NaN	"IL6ST,MAP2K2,MAP2K4"
BER (Base Excision Repair) Pathway	0.00E+00	4.88E-02	NaN	"MAP2K2,MAP2K4"
Unfolded protein response	0.00E+00	2.82E-02	NaN	"HSP90B1,P4HB"
WNT/Ca+ pathway	0.00E+00	2.56E-02	NaN	NFAT5
EGF Signaling	0.00E+00	2.38E-02	NaN	MAP2K4
SAPK/JNK Signaling	0.00E+00	5.71E-02	NaN	"GNB2,GNG5,MAP2K4,MAP3K2"
PTEN Signaling	0.00E+00	4.04E-02	NaN	"FOXO3,ITGAV,ITGB1,MAP2K2"
Interferon Signaling	0.00E+00	4.00E-02	NaN	ISG15
IL-2 Signaling	0.00E+00	2.33E-02	NaN	MAP2K2
Amyloid Processing	0.00E+00	2.94E-02	NaN	PRKAR1A
Endoplasmic Reticulum Stress Pathway	0.00E+00	5.26E-02	NaN	HSP90B1
JAK/STAT Signaling	0.00E+00	3.17E-02	NaN	"GNAQ,MAP2K2"
IL-4 Signaling	0.00E+00	3.41E-02	NaN	"COL1A2,COL3A1,COL5A2"
Neurotrophin/TRK Signaling	0.00E+00	3.70E-02	NaN	"MAP2K2,MAP2K4"
Sonic Hedgehog Signaling	0.00E+00	5.26E-02	NaN	PRKAR1A
p38 MAPK Signaling	0.00E+00	3.28E-02	NaN	"MAP2K4,MEF2C"
TGF-β Signaling	0.00E+00	5.56E-02	1	"MAP2K2,MAP2K4,RUNX2,SMAD5"
NF-κB Signaling	0.00E+00	1.01E-02	NaN	HDAC2
IL-6 Signaling	0.00E+00	3.85E-02	NaN	"IL6ST,MAP2K2,MAP2K4"
PDGF Signaling	0.00E+00	3.12E-02	NaN	"MAP2K2,MAP2K4"
Gustation Pathway	0.00E+00	3.57E-02	NaN	PRKAR1A
Autophagy	0.00E+00	5.77E-02	1.667	"BIRC6,FOXO3,HIF1A,MAP2K2,MAP2K4,PPP2R5E,PRKAR1A,RB1CC1,SLC3A2"
"PD-1, PD-L1 cancer immunotherapy pathway"	0.00E+00	2.08E-02	NaN	HLA-C
Cancer Drug Resistance By Drug Efflux	0.00E+00	5.71E-02	NaN	"FOXO3,MAP2K2"
Th1 and Th2 Activation Pathway	0.00E+00	2.08E-02	NaN	NOTCH2
Th1 Pathway	0.00E+00	2.94E-02	NaN	NOTCH2
Th2 Pathway	0.00E+00	2.86E-02	NaN	NOTCH2
IL-7 Signaling Pathway	0.00E+00	4.44E-02	NaN	"CCND3,FOXO3"
Neuroinflammation Signaling Pathway	0.00E+00	4.31E-02	0.447	"BIRC6,CTNNB1,HLA-C,MAP2K4,NFAT5"
Adrenomedullin signaling pathway	0.00E+00	5.05E-02	1.342	"GNAQ,HIF1A,MAP2K2,MAP2K4,PRKAR1A"
"NER (Nucleotide Excision Repair, Enhanced Pathway)"	0.00E+00	4.88E-02	NaN	"COPS6,NEDD8,POLR2E,POLR2J"
SPINK1 General Cancer Pathway	0.00E+00	5.56E-02	NaN	"MAP2K2,MT2A"
FAT10 Cancer Signaling Pathway	0.00E+00	2.70E-02	NaN	CTNNB1
IL-23 Signaling Pathway	0.00E+00	4.76E-02	NaN	HIF1A
Systemic Lupus Erythematosus In T Cell Signaling Pathway	0.00E+00	4.96E-02	-0.447	"HLA-C,MAP2K2,MAP2K4,PPP2R5E,RHOC,ROCK2"
Senescence Pathway	0.00E+00	4.98E-02	0	"ANAPC11,CCND3,CDK6,FOXO3,MAP2K2,MAP2K4,NFAT5,PPP2R5E,SMAD5,ZFP36L1"
White Adipose Tissue Browning Pathway	0.00E+00	5.36E-02	NaN	"DIO2,PRKAR1A,RUNX1T1"
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	0.00E+00	4.55E-02	1.342	"CDH2,EGR1,MAP2K2,MAP2K4,ZEB2"
MSP-RON Signaling In Macrophages Pathway	0.00E+00	1.89E-02	NaN	NFKBIZ
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	0.00E+00	4.55E-02	NaN	"ATP6V0B,MAP2K2,MAP2K4"
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	0.00E+00	5.26E-02	NaN	"MAP2K2,MAP2K4"
