Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Thrombopoietin Signaling	4.15E-01	7.32E-02	NaN	"JUN,MAP2K2,PRKD3"
Neuropathic Pain Signaling In Dorsal Horn Neurons	4.15E-01	7.32E-02	NaN	"CAMK2D,PRKAR1A,PRKD3"
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	4.15E-01	6.90E-02	NaN	"CTNNB1,HIF1A,S100A4,TCF4"
DNA Methylation and Transcriptional Repression Signaling	4.04E-01	6.58E-02	NaN	"CDK6,RBBP4,TCF12,TCF4,TEAD1"
Mouse Embryonic Stem Cell Pluripotency	4.04E-01	6.58E-02	-1.342	"CTNNB1,IL6ST,MAP2K2,SMAD5,TCF4"
SNARE Signaling Pathway	4.01E-01	6.78E-02	-1	"CAMK2D,GPAA1,PRKAR1A,RAB1A"
Ferroptosis Signaling Pathway	3.98E-01	6.38E-02	1.633	"ANGPTL4,FTH1,FTL,G3BP1,GPX4,MAP2K2"
SAPK/JNK Signaling	3.93E-01	6.49E-02	-1	"CDC42,GNB2,JUN,MAP2K4,MAP3K2"
PEDF Signaling	3.75E-01	6.56E-02	NaN	"NFKBIA,ROCK2,TCF12,TCF4"
VEGF Family Ligand-Receptor Interactions	3.68E-01	6.82E-02	NaN	"MAP2K2,PRKD3,VEGFA"
IL-33 Signaling Pathway	3.59E-01	6.25E-02	0.447	"JUN,MAP2K2,MAP2K4,NFKBIA,PRKAR1A"
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	3.44E-01	7.14E-02	NaN	"NR2F1,PHB1"
Neuroinflammation Signaling Pathway	3.39E-01	5.93E-02	0.378	"BIRC6,CTNNB1,HLA-A,HLA-C,JUN,MAP2K4,NFAT5"
Lipid Antigen Presentation by CD1	3.39E-01	9.09E-02	NaN	AP2S1
Estrogen Biosynthesis	3.39E-01	9.09E-02	NaN	CYP1B1
Acetone Degradation I (to Methylglyoxal)	3.39E-01	9.09E-02	NaN	CYP1B1
TWEAK Signaling	3.27E-01	6.90E-02	NaN	"NFKBIA,TNFRSF12A"
Endometrial Cancer Signaling	3.26E-01	6.38E-02	NaN	"CTNNB1,FOXO3,MAP2K2"
LPS/IL-1 Mediated Inhibition of RXR Function	3.19E-01	5.95E-02	NaN	"GSTP1,JUN,MAP2K4,TNFRSF11B,XPO1"
Chronic Myeloid Leukemia Signaling	3.17E-01	5.67E-02	-0.905	"CDK6,CTNNB1,FOXO3,HSP90AA1,ITGB1,JUN,MAP2K2,NFAT5,NOTCH2,SET,TCF4"
STAT3 Pathway	3.16E-01	6.06E-02	NaN	"IL6ST,MAP2K2,MAP2K4,VEGFA"
Ovarian Cancer Signaling	3.12E-01	5.83E-02	1	"CTNNB1,GJA1,MAP2K2,PRKAR1A,TCF4,VEGFA"
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	3.12E-01	8.33E-02	NaN	HLA-A
iNOS Signaling	3.11E-01	6.67E-02	NaN	"JUN,NFKBIA"
Apelin Pancreas Signaling Pathway	3.11E-01	6.67E-02	NaN	"MAP2K4,PRKAR1A"
ATM Signaling	3.09E-01	5.88E-02	NaN	"CBX3,JUN,MAP2K4,NFKBIA,PPP2R5E"
"PD-1, PD-L1 cancer immunotherapy pathway"	3.01E-01	6.12E-02	NaN	"HLA-A,HLA-C,TNFRSF11B"
GM-CSF Signaling	2.90E-01	6.00E-02	NaN	"CAMK2D,MAP2K2,RACK1"
Granzyme B Signaling	2.88E-01	7.69E-02	NaN	PRKDC
DNA Double-Strand Break Repair by Homologous Recombination	2.88E-01	7.69E-02	NaN	ATRX
DNA Double-Strand Break Repair by Non-Homologous End Joining	2.88E-01	7.69E-02	NaN	PRKDC
Dermatan Sulfate Biosynthesis (Late Stages)	2.88E-01	7.69E-02	NaN	DSEL
"D-myo-inositol (1,4,5)-trisphosphate Degradation"	2.88E-01	7.69E-02	NaN	BPNT2
Colanic Acid Building Blocks Biosynthesis	2.88E-01	7.69E-02	NaN	UGDH
Phototransduction Pathway	2.88E-01	7.69E-02	NaN	PRKAR1A
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	2.88E-01	5.66E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	2.88E-01	5.66E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
NGF Signaling	2.83E-01	5.68E-02	-1	"CDC42,MAP2K2,MAP2K4,MAP3K2,ROCK2"
Endocannabinoid Developing Neuron Pathway	2.83E-01	5.68E-02	NaN	"CTNNB1,GNB2,MAP2K2,MAP2K4,PRKAR1A"
Regulation of Cellular Mechanics by Calpain Protease	2.78E-01	5.88E-02	NaN	"CDK6,ITGAV,ITGB1"
p53 Signaling	2.76E-01	5.71E-02	0	"CTNNB1,HIF1A,JUN,PRKDC"
Adrenomedullin signaling pathway	2.72E-01	5.56E-02	-0.816	"GNAQ,GNAS,HIF1A,MAP2K2,MAP2K4,PRKAR1A"
Amyotrophic Lateral Sclerosis Signaling	2.68E-01	5.77E-02	NaN	"RNF19A,SSR4,VEGFA"
Unfolded protein response	2.67E-01	5.63E-02	NaN	"DNAJB1,DNAJB14,HSPH1,P4HB"
Eicosanoid Signaling	2.66E-01	7.14E-02	NaN	PTGES
Oxytocin In Brain Signaling Pathway	2.66E-01	5.56E-02	-0.447	"GNAQ,GNB2,MAP2K2,MEF2C,PRKD3"
NAD Signaling Pathway	2.58E-01	5.49E-02	1	"GJA1,HIF1A,LDHA,POLR2E,VEGFA"
LXR/RXR Activation	2.55E-01	5.88E-02	NaN	"NCOR1,TNFRSF11B"
IL-3 Signaling	2.47E-01	5.56E-02	NaN	"JUN,MAP2K2,PRKD3"
Th1 and Th2 Activation Pathway	2.47E-01	5.56E-02	NaN	"HLA-A,JUN,NOTCH2"
MYC Mediated Apoptosis Signaling	2.42E-01	5.71E-02	NaN	"PRKAR1A,TNFRSF11B"
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.42E-01	5.71E-02	NaN	"MAP2K2,NFKBIA"
Amyloid Processing	2.42E-01	5.71E-02	NaN	"CSNK1A1,PRKAR1A"
nNOS Signaling in Neurons	2.13E-01	5.88E-02	NaN	PRKD3
IL-22 Signaling	1.99E-01	5.56E-02	NaN	MAP2K4
"Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism"	1.99E-01	5.56E-02	NaN	BPNT2
Immunogenic Cell Death Signaling Pathway	0.00E+00	4.26E-02	NaN	"HSP90AA1,TNFRSF11B"
Macrophage Alternative Activation Signaling Pathway	0.00E+00	3.75E-02	NaN	"ACLY,JUN,NFKBIA"
Fc Epsilon RI Signaling	0.00E+00	4.92E-02	NaN	"MAP2K2,MAP2K4,PRKD3"
DHCR24 Signaling Pathway	0.00E+00	1.59E-02	NaN	PRKD3
FXR/RXR Activation	0.00E+00	3.57E-02	NaN	MAP2K4
PXR/RXR Activation	0.00E+00	4.17E-02	NaN	PRKAR1A
Role of BRCA1 in DNA Damage Response	0.00E+00	2.70E-02	NaN	"ARID1A,PBRM1"
Role of RIG1-like Receptors in Antiviral Innate Immunity	0.00E+00	4.35E-02	NaN	NFKBIA
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	0.00E+00	5.00E-02	NaN	"MAP2K4,PRKD3"
TREM1 Signaling	0.00E+00	4.55E-02	NaN	ITGB1
FcγRIIB Signaling in B Lymphocytes	0.00E+00	2.63E-02	NaN	MAP2K4
Lymphotoxin β Receptor Signaling	0.00E+00	5.26E-02	NaN	"CYC1,NFKBIA"
IL-15 Production	0.00E+00	4.84E-02	NaN	"DDR2,EPHA3,MAP2K4"
IL-15 Signaling	0.00E+00	1.89E-02	NaN	MAP2K2
Angiopoietin Signaling	0.00E+00	1.89E-02	NaN	NFKBIA
Endothelin-1 Signaling	0.00E+00	4.35E-02	0	"GNAQ,GNAS,JUN,PRKD3"
CNTF Signaling	0.00E+00	4.76E-02	NaN	"IL6ST,MAP2K2"
Cell Cycle Regulation by BTG Family Proteins	0.00E+00	3.33E-02	NaN	PPP2R5E
Maturity Onset Diabetes of Young (MODY) Signaling	0.00E+00	5.26E-02	NaN	GAPDH
Role of CHK Proteins in Cell Cycle Checkpoint Control	0.00E+00	1.92E-02	NaN	PPP2R5E
FLT3 Signaling in Hematopoietic Progenitor Cells	0.00E+00	1.61E-02	NaN	MAP2K2
Melanocyte Development and Pigmentation Signaling	0.00E+00	4.84E-02	NaN	"GNAS,MAP2K2,PRKAR1A"
Antiproliferative Role of Somatostatin Receptor 2	0.00E+00	4.35E-02	NaN	"GNB2,MAP2K2"
Growth Hormone Signaling	0.00E+00	2.50E-02	NaN	PRKD3
Prolactin Signaling	0.00E+00	4.92E-02	NaN	"JUN,MAP2K2,PRKD3"
CREB Signaling in Neurons	0.00E+00	5.33E-02	0	"CAMK2D,GNAQ,GNAS,GNB2,MAP2K2,POLR2E,PRKAR1A,PRKD3,VEGFA"
Melanoma Signaling	0.00E+00	2.70E-02	NaN	MAP2K2
Prostate Cancer Signaling	0.00E+00	5.32E-02	NaN	"CTNNB1,GSTP1,HSP90AA1,MAP2K2,NFKBIA"
Small Cell Lung Cancer Signaling	0.00E+00	4.00E-02	NaN	"CDK6,CYC1,NFKBIA"
Glioma Signaling	0.00E+00	4.44E-02	NaN	"CAMK2D,CDK6,MAP2K2,PRKD3"
Acute Myeloid Leukemia Signaling	0.00E+00	4.35E-02	NaN	"MAP2K2,MAP2K4,TCF4"
Bladder Cancer Signaling	0.00E+00	3.33E-02	NaN	"MAP2K2,VEGFA"
Non-Small Cell Lung Cancer Signaling	0.00E+00	4.05E-02	NaN	"CDK6,FOXO3,MAP2K2"
Pancreatic Adenocarcinoma Signaling	0.00E+00	4.12E-02	1	"CDC42,MAP2K2,MAP2K4,VEGFA"
Sphingosine-1-phosphate Signaling	0.00E+00	4.62E-02	NaN	"CDC42,GNAQ,RND3"
Retinoic acid Mediated Apoptosis Signaling	0.00E+00	3.12E-02	NaN	CRABP2
Hereditary Breast Cancer Signaling	0.00E+00	5.00E-02	NaN	"ARID1A,CDK6,PBRM1,POLR2E,UBB,UBC"
Estrogen-Dependent Breast Cancer Signaling	0.00E+00	1.79E-02	NaN	JUN
Leptin Signaling in Obesity	0.00E+00	5.41E-02	NaN	"MAP2K2,PRKAR1A"
Glioblastoma Multiforme Signaling	0.00E+00	4.76E-02	-1	"CDC42,CDK6,CTNNB1,MAP2K2,RND3"
Role of MAPK Signaling in the Pathogenesis of Influenza	0.00E+00	4.76E-02	NaN	"MAP2K2,MAP2K4"
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	0.00E+00	5.26E-02	NaN	ISG15
Cyclins and Cell Cycle Regulation	0.00E+00	2.86E-02	NaN	"CDK6,PPP2R5E"
Cell Cycle Control of Chromosomal Replication	0.00E+00	2.00E-02	NaN	CDK6
Assembly of RNA Polymerase II Complex	0.00E+00	4.44E-02	NaN	"POLR2E,TAF2"
Role of IL-17F in Allergic Inflammatory Airway Diseases	0.00E+00	4.17E-02	NaN	MAP2K2
Role of JAK2 in Hormone-like Cytokine Signaling	0.00E+00	4.00E-02	NaN	VEGFA
Telomerase Signaling	0.00E+00	3.70E-02	NaN	"HSP90AA1,MAP2K2,PPP2R5E"
ERB2-ERBB3 Signaling	0.00E+00	4.35E-02	NaN	"JUN,MAP2K2"
ERBB4 Signaling	0.00E+00	4.55E-02	NaN	"MAP2K2,PRKD3"
GADD45 Signaling	0.00E+00	4.65E-02	NaN	"FOXO3,MAP2K4"
D-myo-inositol-5-phosphate Metabolism	0.00E+00	5.13E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
Dermatan Sulfate Biosynthesis	0.00E+00	4.55E-02	NaN	DSEL
Superpathway of Inositol Phosphate Compounds	0.00E+00	4.23E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
3-phosphoinositide Degradation	0.00E+00	5.26E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
3-phosphoinositide Biosynthesis	0.00E+00	4.84E-02	0	"NUDT1,PPP1CB,PPP1R12A,PPP1R14B,PPP2R5E,SET"
Stearate Biosynthesis I (Animals)	0.00E+00	2.63E-02	NaN	TECR
Methionine Degradation I (to Homocysteine)	0.00E+00	5.26E-02	NaN	AHCYL1
Superpathway of Methionine Degradation	0.00E+00	3.70E-02	NaN	AHCYL1
Antioxidant Action of Vitamin C	0.00E+00	3.70E-02	NaN	"MAP2K4,NFKBIA"
Inhibition of Matrix Metalloproteases	0.00E+00	5.26E-02	NaN	TIMP1
Cysteine Biosynthesis III (mammalia)	0.00E+00	5.00E-02	NaN	AHCYL1
UVA-Induced MAPK Signaling	0.00E+00	2.86E-02	NaN	"JUN,MAP2K4"
BER (Base Excision Repair) Pathway	0.00E+00	4.88E-02	NaN	"MAP2K2,MAP2K4"
WNT/Ca+ pathway	0.00E+00	2.33E-02	NaN	NFAT5
EGF Signaling	0.00E+00	4.55E-02	NaN	"JUN,MAP2K4"
Cell Cycle: G1/S Checkpoint Regulation	0.00E+00	3.45E-02	NaN	"CDK6,RPL11"
Nucleotide Excision Repair Pathway	0.00E+00	3.12E-02	NaN	POLR2E
PTEN Signaling	0.00E+00	4.72E-02	1	"CDC42,FOXO3,ITGAV,ITGB1,MAP2K2"
Interferon Signaling	0.00E+00	3.85E-02	NaN	ISG15
IL-2 Signaling	0.00E+00	4.44E-02	NaN	"JUN,MAP2K2"
JAK/STAT Signaling	0.00E+00	4.62E-02	NaN	"GNAQ,JUN,MAP2K2"
IL-4 Signaling	0.00E+00	4.26E-02	-1	"COL1A2,COL3A1,COL5A2,COL6A2"
Sonic Hedgehog Signaling	0.00E+00	4.55E-02	NaN	PRKAR1A
p38 MAPK Signaling	0.00E+00	3.12E-02	NaN	"MAP2K4,MEF2C"
Glutamate Receptor Signaling	0.00E+00	5.00E-02	NaN	GNB2
Notch Signaling	0.00E+00	4.17E-02	NaN	NOTCH2
NF-κB Signaling	0.00E+00	2.97E-02	NaN	"BMP2,NFKBIA,TNFRSF11B"
PDGF Signaling	0.00E+00	4.41E-02	NaN	"JUN,MAP2K2,MAP2K4"
Gustation Pathway	0.00E+00	2.56E-02	NaN	PRKAR1A
Phagosome Formation	0.00E+00	5.10E-02	-1.897	"ACTR2,CDC42,FN1,ITGAV,ITGB1,MAP2K2,MAP2K4,MARCKS,PRKD3,ROCK2"
Cancer Drug Resistance By Drug Efflux	0.00E+00	5.26E-02	NaN	"FOXO3,MAP2K2"
Th1 Pathway	0.00E+00	5.13E-02	NaN	"HLA-A,NOTCH2"
IL-7 Signaling Pathway	0.00E+00	4.35E-02	NaN	"FOXO3,JUN"
"NER (Nucleotide Excision Repair, Enhanced Pathway)"	0.00E+00	1.20E-02	NaN	POLR2E
Endocannabinoid Neuronal Synapse Pathway	0.00E+00	5.08E-02	NaN	"GNAQ,GNB2,PRKAR1A"
Apelin Cardiomyocyte Signaling Pathway	0.00E+00	3.92E-02	NaN	"HIF1A,PRKD3"
Senescence Pathway	0.00E+00	5.31E-02	0.632	"ANAPC11,ATF3,CDK6,FOXO3,JUN,MAP2K2,MAP2K4,NFAT5,PPP2R5E,SMAD5,ZFP36L1"
MSP-RON Signaling In Macrophages Pathway	0.00E+00	3.57E-02	NaN	"JUN,NFKBIZ"
